fips,date,count
20197,2021-03-29,2
20207,2021-03-29,7
20209,2021-06-14,419
21000,2021-01-04,9760
21001,2021-06-14,93
21003,2021-06-14,90
21007,2021-06-14,57
21009,2021-06-14,240
21013,2021-06-14,126
21015,2021-06-14,462
21017,2021-06-14,238
21019,2021-06-14,0
21021,2021-06-14,203
21027,2021-06-14,214
21029,2021-06-14,199
21031,2021-03-18,57
21033,2021-03-30,26
21035,2021-06-14,157
21037,2021-06-14,366
21041,2021-06-14,0
21043,2021-06-14,202
21045,2021-06-14,192
21047,2021-03-29,664
21049,2021-06-14,155
21051,2021-06-14,233
21055,2021-06-14,125
21059,2021-06-14,582
21067,2020-11-05,907
21071,2020-11-05,141
21073,2021-06-14,234
21075,2021-06-14,407
21081,2021-06-14,230
21083,2020-11-05,113
21085,2021-03-29,556
21089,2021-06-14,118
21093,2021-06-14,650
21095,2021-06-14,202
21099,2021-06-14,143
21101,2021-06-14,0
21107,2021-06-14,380
21109,2021-06-14,67
21111,2020-11-05,1250
21113,2021-06-14,153
21115,2021-06-14,215
21117,2021-06-14,588
21121,2021-06-14,276
21123,2021-06-14,122
21125,2021-06-14,650
21129,2021-06-14,238
21131,2021-06-14,212
21133,2021-02-02,111
21135,2021-03-29,79
21137,2021-06-14,0
21141,2021-06-14,146
21145,2021-06-14,493
21151,2021-06-14,281
21155,2021-06-14,0
21157,2020-11-05,140
21161,2021-06-14,174
21163,2020-11-05,171
21173,2021-06-14,172
21177,2021-03-29,208
21179,2021-06-14,109
21183,2021-06-14,57
21185,2021-06-14,243
21193,2020-11-05,189
21195,2021-06-14,355
21197,2021-06-14,225
21199,2021-06-14,328
21203,2021-06-14,78
21205,2021-06-14,326
21207,2021-06-14,114
21209,2021-06-14,92
21211,2021-06-14,282
21213,2020-11-05,211
21217,2021-06-14,188
21219,2021-03-29,124
21225,2021-06-14,0
21227,2021-06-14,650
21231,2021-06-14,150
21233,2021-06-14,208
21235,2021-06-14,234
21239,2021-06-14,0
22001,2021-06-13,182
22003,2021-06-13,88
22005,2021-06-13,402
22007,2021-06-13,128
22009,2021-06-13,327
22011,2021-06-13,144
22013,2021-06-13,21
22015,2021-06-13,1124
22017,2021-06-13,1222
22019,2021-06-13,875
22021,2021-06-13,607
22023,2021-06-14,26
22025,2021-03-29,142
22027,2021-06-14,464
22029,2021-06-14,137
22031,2021-06-14,117
22033,2021-06-14,1162
22037,2021-06-14,245
22039,2021-03-30,73
22041,2021-06-14,826
22045,2021-06-14,393
22047,2021-06-14,91
22049,2021-06-14,0
22051,2021-06-14,1118
22053,2021-06-14,112
22055,2020-08-15,988
22057,2021-06-14,611
22059,2021-06-14,103
22061,2021-06-14,252
22063,2021-06-14,724
22065,2021-06-14,73
22067,2021-06-14,419
22069,2021-06-14,270
22071,2021-06-14,775
22073,2021-06-14,1261
22075,2021-06-14,668
22077,2021-06-14,92
22079,2021-06-14,860
22081,2021-06-14,53
22083,2021-06-14,631
22085,2021-06-14,164
22087,2021-06-14,186
22089,2021-06-14,374
22091,2021-06-14,49
22093,2021-06-14,60
22095,2021-06-14,64
22097,2021-03-29,234
22099,2021-06-14,192
22101,2021-06-14,174
22103,2021-06-14,977
22105,2021-06-14,586
22107,2021-06-14,23
22109,2021-03-29,1127
22113,2021-06-14,140
22115,2021-03-30,116
22117,2021-03-29,208
22119,2021-06-14,585
22121,2021-06-14,100
22123,2021-06-14,25
22125,2021-06-14,125
22127,2021-03-30,146
23000,2020-09-14,1964
23005,2021-03-30,288
23019,2020-08-19,169
24000,2021-06-14,17982
24001,2021-03-29,148
24019,2021-06-14,114
24033,2021-06-14,967
24037,2021-03-30,203
24510,2020-08-13,1417
25000,2021-06-01,6588
25025,2020-06-29,896
25027,2021-03-30,496
26001,2020-06-25,3
26003,2020-06-25,22
26007,2020-06-24,41
26009,2020-06-24,16
26011,2020-06-25,22
26013,2020-06-25,14
26017,2020-12-11,100
26019,2020-05-26,14
26021,2021-03-29,270
26023,2020-12-11,86
26025,2020-12-11,365
26033,2020-12-11,117
26035,2020-12-11,87
26037,2020-12-11,98
26039,2020-06-24,16
26041,2020-12-07,100
26043,2020-12-11,31
26045,2020-10-22,185
26049,2020-09-23,557
26053,2020-05-27,17
26057,2020-12-11,27
26059,2020-12-11,42
26061,2020-06-24,22
26063,2020-12-11,31
26065,2020-09-23,278
26067,2020-12-11,52
26069,2020-10-20,50
26071,2020-06-25,10
26073,2021-06-14,132
26077,2020-06-24,260
26079,2020-10-23,16
26083,2020-06-25,0
26085,2020-06-24,16
26087,2020-12-11,43
26093,2020-12-11,239
26097,2020-06-25,10
26099,2020-08-06,815
26101,2020-12-11,20
26103,2020-12-11,65
26107,2020-12-11,94
26109,2020-06-24,31
26111,2021-06-14,76
26113,2020-05-29,14
26115,2020-10-22,136
26117,2020-12-11,81
