fips,case,death
8065.0,2020-03-31,
8067.0,2020-03-23,2020-05-09
8069.0,2020-03-09,2020-03-25
8071.0,2020-04-03,
8073.0,2020-03-27,
8075.0,2020-03-23,2020-04-17
8077.0,2020-03-14,
8079.0,2020-03-29,
8081.0,2020-03-28,
8083.0,2020-03-29,2020-04-02
8085.0,2020-03-21,2020-04-03
8087.0,2020-03-19,2020-04-17
8089.0,2020-03-25,2020-04-24
8091.0,2020-04-04,2020-04-09
8093.0,2020-03-20,
8095.0,2020-03-30,
8097.0,2020-03-11,2020-03-28
8099.0,2020-04-09,
8101.0,2020-03-13,2020-03-27
8103.0,2020-04-03,
8105.0,2020-03-26,2020-05-21
8107.0,2020-03-13,2020-04-10
8109.0,2020-03-31,2020-05-27
8111.0,2020-05-06,
8113.0,2020-03-20,
8117.0,2020-03-13,2020-04-12
8119.0,2020-03-23,2020-03-23
8121.0,2020-03-26,
8123.0,2020-03-13,2020-03-17
8125.0,2020-03-18,
9001.0,2020-03-08,2020-03-18
9003.0,2020-03-14,2020-03-22
9005.0,2020-03-12,2020-03-30
9007.0,2020-03-18,2020-03-26
9009.0,2020-03-14,2020-03-25
9011.0,2020-03-20,2020-03-31
9013.0,2020-03-19,2020-03-21
9015.0,2020-03-19,2020-04-04
10001.0,2020-03-18,2020-03-28
10003.0,2020-03-11,2020-03-27
10005.0,2020-03-17,2020-03-26
11001.0,2020-03-07,2020-03-21
12001.0,2020-03-10,2020-04-21
12003.0,2020-03-15,2020-04-07
12005.0,2020-03-21,2020-04-04
12007.0,2020-03-22,2020-04-12
12009.0,2020-03-17,2020-04-07
12011.0,2020-03-06,2020-03-17
12013.0,2020-03-31,2020-05-14
12015.0,2020-03-07,2020-04-03
12017.0,2020-03-15,2020-03-25
12019.0,2020-03-12,2020-03-18
12021.0,2020-03-10,2020-03-29
12023.0,2020-03-22,2020-04-28
12027.0,2020-03-22,2020-03-30
12029.0,2020-04-04,2020-05-19
12031.0,2020-03-12,2020-03-19
12033.0,2020-03-16,2020-04-04
12035.0,2020-03-22,2020-04-02
12037.0,2020-04-03,
12039.0,2020-03-25,2020-05-13
12041.0,2020-04-07,
12043.0,2020-03-29,2020-03-31
12045.0,2020-04-01,
12047.0,2020-04-06,2020-06-08
12049.0,2020-04-01,2020-06-16
12051.0,2020-03-28,2020-04-20
12053.0,2020-03-19,2020-04-07
12055.0,2020-03-21,2020-03-26
12057.0,2020-03-01,2020-03-26
12059.0,2020-03-30,
12061.0,2020-03-19,2020-04-10
12063.0,2020-03-19,2020-05-29
12065.0,2020-04-04,2020-04-12
12067.0,2020-04-08,
12069.0,2020-03-16,2020-04-02
12071.0,2020-03-06,2020-03-06
12073.0,2020-03-18,2020-04-17
12075.0,2020-03-27,2020-05-30
12077.0,2020-04-10,2020-06-02
12079.0,2020-04-01,2020-04-20
12081.0,2020-03-01,2020-03-17
12083.0,2020-03-21,2020-04-05
12085.0,2020-03-19,2020-04-08
12086.0,2020-03-11,2020-03-27
12087.0,2020-03-20,2020-04-02
12089.0,2020-03-10,2020-05-02
12091.0,2020-03-07,2020-03-30
12093.0,2020-04-01,
12095.0,2020-03-13,2020-03-16
12097.0,2020-03-13,2020-03-30
12099.0,2020-03-12,2020-03-22
12101.0,2020-03-10,2020-03-22
12103.0,2020-03-10,2020-03-24
12105.0,2020-03-17,2020-03-31
12107.0,2020-03-21,2020-04-03
12109.0,2020-03-11,2020-03-23
12111.0,2020-03-21,2020-03-27
12113.0,2020-03-05,2020-03-06
12115.0,2020-03-12,2020-03-25
12117.0,2020-03-12,2020-04-04
12119.0,2020-03-18,2020-04-02
12121.0,2020-03-27,2020-04-13
12123.0,2020-04-07,
12125.0,2020-03-31,2020-05-29
12127.0,2020-03-07,2020-03-28
12129.0,2020-03-29,2020-04-12
12131.0,2020-03-18,2020-05-04
12133.0,2020-03-26,2020-05-16
13001.0,2020-03-30,2020-04-21
13003.0,2020-04-06,2020-04-29
13005.0,2020-03-29,2020-04-16
13007.0,2020-03-24,2020-03-24
13009.0,2020-03-21,2020-03-30
13011.0,2020-03-30,2020-05-29
13013.0,2020-03-22,2020-03-22
13015.0,2020-03-11,2020-03-22
13017.0,2020-03-24,2020-05-14
13019.0,2020-03-30,2020-06-05
13021.0,2020-03-19,2020-04-01
13023.0,2020-03-30,2020-06-15
13025.0,2020-04-06,2020-04-07
13027.0,2020-03-29,2020-04-08
13029.0,2020-03-24,2020-04-01
13031.0,2020-03-28,2020-04-11
13033.0,2020-03-23,2020-04-09
13035.0,2020-03-22,2020-04-20
13037.0,2020-03-26,2020-04-01
13039.0,2020-03-24,2020-04-23
13043.0,2020-03-29,
13045.0,2020-03-20,2020-03-30
13047.0,2020-03-23,2020-06-16
13049.0,2020-03-10,2020-05-11
13051.0,2020-03-20,2020-03-30
13053.0,2020-03-27,2020-06-18
13055.0,2020-03-22,2020-04-06
13057.0,2020-03-08,2020-03-27
13059.0,2020-03-15,2020-03-27
13061.0,2020-03-30,2020-04-06
13063.0,2020-03-15,2020-03-22
13065.0,2020-03-22,2020-05-15
13067.0,2020-03-07,2020-03-12
13069.0,2020-03-22,2020-04-07
13071.0,2020-03-24,2020-03-31
13073.0,2020-03-18,2020-04-17
13075.0,2020-03-30,2020-04-16
13077.0,2020-03-14,2020-03-24
13079.0,2020-04-05,
13081.0,2020-03-24,2020-04-13
13083.0,2020-03-30,2020-04-03
13085.0,2020-03-20,2020-04-06
13087.0,2020-03-25,2020-04-19
13089.0,2020-03-09,2020-03-27
13091.0,2020-03-25,2020-04-27
13093.0,2020-03-30,2020-04-04
13095.0,2020-03-15,2020-03-18
13097.0,2020-03-20,2020-03-27
13099.0,2020-03-19,2020-03-19
